Date/Time,SMC_Power
Tue 12/15/20 11:13:03 AM,-740
Tue 12/15/20 11:13:04 AM,-713
Tue 12/15/20 11:13:05 AM,-798
Tue 12/15/20 11:13:06 AM,-715
Tue 12/15/20 11:13:07 AM,-784
Tue 12/15/20 11:13:08 AM,-731
Tue 12/15/20 11:13:09 AM,-755
Tue 12/15/20 11:13:10 AM,-740
Tue 12/15/20 11:13:11 AM,-768
Tue 12/15/20 11:13:12 AM,-767
Tue 12/15/20 11:13:13 AM,-786
Tue 12/15/20 11:13:14 AM,-791
Tue 12/15/20 11:13:15 AM,-705
Tue 12/15/20 11:13:16 AM,-722
Tue 12/15/20 11:13:17 AM,-745
Tue 12/15/20 11:13:18 AM,-738
Tue 12/15/20 11:13:19 AM,-795
Tue 12/15/20 11:13:20 AM,-762
Tue 12/15/20 11:13:21 AM,-740
Tue 12/15/20 11:13:22 AM,-739
Tue 12/15/20 11:13:23 AM,-758
Tue 12/15/20 11:13:24 AM,-789
Tue 12/15/20 11:13:25 AM,-795
Tue 12/15/20 11:13:26 AM,-705
Tue 12/15/20 11:13:27 AM,-785
Tue 12/15/20 11:13:28 AM,-758
Tue 12/15/20 11:13:29 AM,-705
Tue 12/15/20 11:13:30 AM,-750
Tue 12/15/20 11:13:31 AM,-794
Tue 12/15/20 11:13:32 AM,-712
Tue 12/15/20 11:13:33 AM,-785
Tue 12/15/20 11:13:34 AM,-738
Tue 12/15/20 11:13:35 AM,-778
Tue 12/15/20 11:13:36 AM,-745
Tue 12/15/20 11:13:37 AM,-777
Tue 12/15/20 11:13:38 AM,-708
Tue 12/15/20 11:13:39 AM,-764
Tue 12/15/20 11:13:40 AM,-725
Tue 12/15/20 11:13:41 AM,-707
Tue 12/15/20 11:13:42 AM,-737
Tue 12/15/20 11:13:43 AM,-790
Tue 12/15/20 11:13:44 AM,-760
Tue 12/15/20 11:13:45 AM,-728
Tue 12/15/20 11:13:46 AM,-742
Tue 12/15/20 11:13:47 AM,-756
Tue 12/15/20 11:13:48 AM,-747
Tue 12/15/20 11:13:49 AM,-745
Tue 12/15/20 11:13:50 AM,-784
Tue 12/15/20 11:13:51 AM,-749
Tue 12/15/20 11:13:52 AM,-733
Tue 12/15/20 11:13:53 AM,-723
Tue 12/15/20 11:13:54 AM,-747
Tue 12/15/20 11:13:55 AM,-786
Tue 12/15/20 11:13:56 AM,-716
Tue 12/15/20 11:13:57 AM,-712
Tue 12/15/20 11:13:58 AM,-795
Tue 12/15/20 11:13:59 AM,-701
Tue 12/15/20 11:14:00 AM,-709
Tue 12/15/20 11:14:01 AM,-721
Tue 12/15/20 11:14:02 AM,-703
Tue 12/15/20 11:14:03 AM,-800
Tue 12/15/20 11:14:04 AM,-788
Tue 12/15/20 11:14:05 AM,-783
Tue 12/15/20 11:14:06 AM,-742
Tue 12/15/20 11:14:07 AM,-736
Tue 12/15/20 11:14:08 AM,-736
Tue 12/15/20 11:14:09 AM,-720
Tue 12/15/20 11:14:10 AM,-788
Tue 12/15/20 11:14:11 AM,-757
Tue 12/15/20 11:14:12 AM,-748
Tue 12/15/20 11:14:13 AM,-786
Tue 12/15/20 11:14:14 AM,-772
Tue 12/15/20 11:14:15 AM,-735
Tue 12/15/20 11:14:16 AM,-741
Tue 12/15/20 11:14:17 AM,-766
Tue 12/15/20 11:14:18 AM,-726
Tue 12/15/20 11:14:19 AM,-731
Tue 12/15/20 11:14:20 AM,-712
Tue 12/15/20 11:14:21 AM,-748
Tue 12/15/20 11:14:22 AM,-783
Tue 12/15/20 11:14:23 AM,-708
Tue 12/15/20 11:14:24 AM,-775
Tue 12/15/20 11:14:25 AM,-735
Tue 12/15/20 11:14:26 AM,-774
Tue 12/15/20 11:14:27 AM,-793
Tue 12/15/20 11:14:28 AM,-774
Tue 12/15/20 11:14:29 AM,-788
Tue 12/15/20 11:14:30 AM,-790
Tue 12/15/20 11:14:31 AM,-712
Tue 12/15/20 11:14:32 AM,-748
Tue 12/15/20 11:14:33 AM,-716
Tue 12/15/20 11:14:34 AM,-740
Tue 12/15/20 11:14:35 AM,-710
Tue 12/15/20 11:14:36 AM,-737
Tue 12/15/20 11:14:37 AM,-781
Tue 12/15/20 11:14:38 AM,-759
Tue 12/15/20 11:14:39 AM,-715
Tue 12/15/20 11:14:40 AM,-728
Tue 12/15/20 11:14:41 AM,-725
Tue 12/15/20 11:14:42 AM,-745
Tue 12/15/20 11:14:43 AM,-717
Tue 12/15/20 11:14:44 AM,-719
Tue 12/15/20 11:14:45 AM,-702
Tue 12/15/20 11:14:46 AM,-744
Tue 12/15/20 11:14:47 AM,-758
Tue 12/15/20 11:14:48 AM,-732
